Date,VALE3,PETR4,ITUB4,PETR3,BBDC4,BBAS3,WEGE3,ELET3,SBSP3,B3SA3,ABEV3,ITSA4,BPAC11,EQTL3,RENT3,JBSS3,PRIO3,RDOR3,SUZB3,EMBR3,RADL3,RAIL3,VBBR3,GGBR4,UGPA3,BBSE3,ENEV3,VIVT3,CMIG4,BBDC3
2022-10-04,65.60188293457031,19.948776245117188,26.2462215423584,22.032087326049805,18.436132431030273,16.693674087524414,32.13325881958008,43.88591003417969,55.31632614135742,13.440268516540527,14.660826683044434,7.652678966522217,25.18228530883789,27.49607276916504,61.6650276184082,21.745628356933594,30.281362533569336,30.53315544128418,43.16332244873047,12.640000343322754,22.374603271484375,19.24506187438965,16.364246368408203,17.174123764038086,12.003264427185059,22.465438842773438,14.069999694824219,36.6368293762207,6.18535852432251,15.00066089630127
2022-10-05,66.61460876464844,20.699159622192383,26.2462215423584,22.812259674072266,18.636333465576172,16.961759567260742,32.54893112182617,43.32566452026367,55.31632614135742,13.672319412231445,14.552497863769531,7.674925327301025,25.305728912353516,27.865276336669922,62.003173828125,21.211042404174805,31.249807357788086,30.639541625976562,44.266685485839844,12.609999656677246,22.20644187927246,19.40378189086914,16.320064544677734,16.999088287353516,11.955479621887207,23.05927276611328,13.970000267028809,35.70174789428711,6.0431671142578125,15.234912872314453
2022-10-06,65.1171646118164,21.405029296875,25.7706241607666,23.486330032348633,18.253334045410156,17.263893127441406,32.60692596435547,44.790164947509766,54.647560119628906,13.765138626098633,14.579578399658203,7.637847900390625,25.657066345214844,27.360048294067383,62.62312316894531,21.34037971496582,31.559310913085938,31.316553115844727,44.09693908691406,12.859999656677246,22.361345291137695,19.65178680419922,16.16985511779785,17.19432258605957,12.022377014160156,23.234914779663086,13.930000305175781,35.247581481933594,6.0431671142578125,15.044044494628906
2022-10-07,65.3595199584961,21.385950088500977,25.823469161987305,23.367740631103516,17.818111419677734,17.30219078063965,32.23958969116211,44.65256118774414,54.85774230957031,13.737292289733887,13.920563697814941,7.585941314697266,25.001869201660156,27.204593658447266,60.71633529663086,21.124820709228516,31.958667755126953,30.15596580505371,43.748008728027344,12.359999656677246,21.976449966430664,18.957378387451172,16.240541458129883,17.221254348754883,11.840799331665039,23.55274200439453,13.569999694824219,35.6394157409668,5.890036106109619,14.679655075073242
2022-10-10,64.0438461303711,21.14430046081543,25.55044174194336,23.155532836914062,17.54827308654785,17.051124572753906,33.12895584106445,45.13417053222656,55.53606414794922,13.774419784545898,13.721956253051758,7.571109294891357,24.90691375732422,27.554365158081055,61.37384033203125,22.14225959777832,31.409549713134766,30.213993072509766,45.50208282470703,12.539999961853027,22.164201736450195,18.08440589904785,15.922447204589844,17.382827758789062,11.879026412963867,23.61128807067871,13.569999694824219,35.80862045288086,5.922849178314209,14.540843963623047
2022-10-11,63.6110725402832,20.98532485961914,25.374290466308594,22.930845260620117,17.504751205444336,16.642610549926758,32.771278381347656,44.770503997802734,54.87685012817383,13.319604873657227,13.532376289367676,7.474710464477539,24.897417068481445,27.836130142211914,61.79653549194336,21.236907958984375,31.449485778808594,29.082416534423828,44.91739273071289,12.180000305175781,22.004613876342773,18.848255157470703,15.35694408416748,17.409757614135742,11.907696723937988,22.950542449951172,13.579999923706055,35.63050842285156,5.824408531188965,14.402027130126953
2022-10-13,62.477169036865234,21.58308219909668,25.22456169128418,23.64860725402832,17.2523193359375,16.75750732421875,32.3555908203125,44.229915618896484,53.6826286315918,12.90191650390625,13.550432205200195,7.430217266082764,25.077835083007812,26.83538818359375,61.91864013671875,21.357624053955078,31.709070205688477,28.908329010009766,45.06827926635742,11.59000015258789,21.73237419128418,19.612106323242188,15.136043548583984,17.443418502807617,11.687891006469727,23.561105728149414,13.399999618530273,35.514739990234375,5.731436729431152,14.211153984069824
2022-10-14,60.44307327270508,21.252408981323242,25.233367919921875,23.186742782592773,17.139156341552734,16.66388511657715,31.76590347290039,43.14874267578125,52.25912094116211,12.892634391784668,13.387935638427734,7.400556564331055,24.9259033203125,26.505046844482422,60.67876434326172,20.900638580322266,31.000207901000977,27.786426544189453,45.06827926635742,11.399999618530273,21.0095272064209,19.145858764648438,14.738424301147461,17.03274917602539,11.53498363494873,23.00072479248047,13.5,35.0783805847168,5.611120223999023,14.150419235229492
2022-10-17,61.395198822021484,21.23332977294922,25.435937881469727,23.03694725036621,17.261030197143555,16.804311752319336,32.49093246459961,45.26194763183594,53.615753173828125,13.133963584899902,13.469183921813965,7.482125282287598,25.467153549194336,26.786808013916016,62.27556610107422,21.34037971496582,31.299726486206055,27.8928165435791,46.61487579345703,12.149999618530273,21.4038028717041,19.87995147705078,15.162552833557129,17.38956069946289,11.879026412963867,23.452377319335938,13.680000305175781,34.87355422973633,5.868160247802734,14.254535675048828
2022-10-18,62.2867317199707,21.75478744506836,26.061275482177734,23.55498695373535,17.391597747802734,17.00005531311035,33.409297943115234,46.21535110473633,53.883262634277344,12.99473762512207,13.451128005981445,7.630432605743408,25.932435989379883,27.22402572631836,63.47787857055664,21.935321807861328,32.178314208984375,28.502124786376953,46.8317756652832,12.529999732971191,21.835636138916016,20.276756286621094,16.090330123901367,17.645387649536133,12.54799747467041,24.09639549255371,13.800000190734863,35.06947326660156,6.097855091094971,14.384673118591309
